chrom	start	end	strand	trid	geneid
chr1	182424	182713	+	stmg_plus_chr1.1.1	stmg_plus_chr1.1
chr1	183923	184152	+	stmg_plus_chr1.2.1	stmg_plus_chr1.2
chr1	1426128	1426385	+	stmg_plus_chr1.3.1	stmg_plus_chr1.3
chr1	1427554	1427781	+	stmg_plus_chr1.3.1	stmg_plus_chr1.3
chr1	1891530	1891851	+	stmg_plus_chr1.4.1	stmg_plus_chr1.4
chr1	1892134	1892643	+	stmg_plus_chr1.4.1	stmg_plus_chr1.4
chr1	2019355	2019491	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2024942	2025054	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2025334	2025401	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2025518	2025738	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2027577	2027659	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2028155	2028292	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2029111	2029266	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2029551	2029762	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2029983	2030750	+	stmg_plus_chr1.5.1	stmg_plus_chr1.5
chr1	2581560	2581650	+	stmg_plus_chr1.6.1	stmg_plus_chr1.6
chr1	2583370	2583495	+	stmg_plus_chr1.6.1	stmg_plus_chr1.6
chr1	2584125	2584533	+	stmg_plus_chr1.6.1	stmg_plus_chr1.6
chr1	11609532	11610113	+	stmg_plus_chr1.7.1	stmg_plus_chr1.7
chr1	11611843	11611978	+	stmg_plus_chr1.7.1	stmg_plus_chr1.7
chr1	11612790	11613331	+	stmg_plus_chr1.7.1	stmg_plus_chr1.7
chr1	12528075	12528417	+	stmg_plus_chr1.8.1	stmg_plus_chr1.8
chr1	16159359	16159426	+	stmg_plus_chr1.9.1	stmg_plus_chr1.9
chr1	16161501	16161874	+	stmg_plus_chr1.9.1	stmg_plus_chr1.9
chr1	16520756	16520787	+	stmg_plus_chr1.10.1	stmg_plus_chr1.10
chr1	16521564	16521756	+	stmg_plus_chr1.10.1	stmg_plus_chr1.10
chr1	16645622	16645678	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16646369	16646515	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16646597	16646709	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16646787	16646901	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16646980	16647116	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16647198	16647318	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16647463	16647581	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16647784	16647952	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16648068	16648198	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16648299	16648664	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16648756	16648792	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16648881	16649001	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16649174	16649251	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16649379	16649525	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16649607	16649713	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16649810	16649949	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	16650074	16650289	+	stmg_plus_chr1.11.1	stmg_plus_chr1.11
chr1	19665302	19666467	+	stmg_plus_chr1.12.1	stmg_plus_chr1.12
chr1	19678567	19678725	+	stmg_plus_chr1.12.1	stmg_plus_chr1.12
chr1	19678919	19679558	+	stmg_plus_chr1.12.1	stmg_plus_chr1.12
chr1	25581520	25581772	+	stmg_plus_chr1.13.1	stmg_plus_chr1.13
chr1	25590169	25590355	+	stmg_plus_chr1.13.1	stmg_plus_chr1.13
chr1	27392646	27392737	+	stmg_plus_chr1.14.1	stmg_plus_chr1.14
chr1	27393794	27395814	+	stmg_plus_chr1.14.1	stmg_plus_chr1.14
chr1	27530361	27530561	+	stmg_plus_chr1.15.1	stmg_plus_chr1.15
chr1	28259527	28259937	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28269183	28269248	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28271674	28271871	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28272284	28272466	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28272581	28272793	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28273358	28273508	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28274040	28274158	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28274825	28275015	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28279097	28279241	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	28280716	28282491	+	stmg_plus_chr1.16.1	stmg_plus_chr1.16
chr1	32247233	32247682	+	stmg_plus_chr1.17.1	stmg_plus_chr1.17
chr1	32248371	32248856	+	stmg_plus_chr1.17.1	stmg_plus_chr1.17
chr1	36088876	36089115	+	stmg_plus_chr1.18.1	stmg_plus_chr1.18
chr1	36091244	36091340	+	stmg_plus_chr1.18.1	stmg_plus_chr1.18
chr1	36091618	36091825	+	stmg_plus_chr1.18.1	stmg_plus_chr1.18
chr1	36091910	36092094	+	stmg_plus_chr1.18.1	stmg_plus_chr1.18
chr1	36092422	36092522	+	stmg_plus_chr1.18.1	stmg_plus_chr1.18
chr1	36093097	36093932	+	stmg_plus_chr1.18.1	stmg_plus_chr1.18
chr1	42678737	42678869	+	stmg_plus_chr1.19.1	stmg_plus_chr1.19
chr1	42681194	42681654	+	stmg_plus_chr1.19.1	stmg_plus_chr1.19
chr1	53328235	53328375	+	stmg_plus_chr1.20.1	stmg_plus_chr1.20
chr1	53331168	53331251	+	stmg_plus_chr1.20.1	stmg_plus_chr1.20
chr1	53336170	53336508	+	stmg_plus_chr1.20.1	stmg_plus_chr1.20
chr1	56854806	56854978	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56867609	56867702	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56874949	56875093	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56876062	56876209	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56881445	56881634	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56883481	56883681	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56885927	56886167	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56906667	56906792	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56907956	56908113	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56912403	56912625	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	56917565	56918188	+	stmg_plus_chr1.21.1	stmg_plus_chr1.21
chr1	62688485	62688652	+	stmg_plus_chr1.22.1	stmg_plus_chr1.22
chr1	62709638	62710694	+	stmg_plus_chr1.22.1	stmg_plus_chr1.22
chr1	62901295	62901607	+	stmg_plus_chr1.23.1	stmg_plus_chr1.23
chr1	69433256	69433305	+	stmg_plus_chr1.24.1	stmg_plus_chr1.24
chr1	69435003	69435408	+	stmg_plus_chr1.24.1	stmg_plus_chr1.24
chr1	89364059	89364127	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89368529	89368741	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89369546	89369673	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89378103	89378212	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89378417	89378613	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89380386	89380631	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89381694	89381974	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89382664	89382876	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89383652	89383754	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89384093	89384286	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	89385230	89386422	+	stmg_plus_chr1.25.1	stmg_plus_chr1.25
chr1	92167053	92167140	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	92167848	92167985	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	92168866	92168995	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	92171399	92171460	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	92176829	92177546	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	92177811	92177898	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	92178312	92178451	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	92180265	92182595	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	92183864	92184723	+	stmg_plus_chr1.26.1	stmg_plus_chr1.26
chr1	117606054	117606153	+	stmg_plus_chr1.27.1	stmg_plus_chr1.27
